DE	EN
loschen	- I don't know. - I don't know. - I don't know.
das Medium; Medien	the medium; media
der Koplhorer;	the Coplhorer;
das F-Book, -s	the F-Book, -s
chatten	chat
drucken	Print
spannend	exciting
entspannend	relaxing
ab {schicken	from send
erreichbar sein	can be reached
der Anhang	Annex
Rund ums Internet	Around the Internet
an {hängen	on append
das Online-Spiel, -e	the online game, -e
die Hilfe,	help,
die Nachrichten, PL.	the news, plural
die Option; -en	the option; -en
das E-Mail, -s	the e-mail, -s
das	the
Adressbuch,	address book,
die E-Mails checken	check the e-mails
der Posteingang	the inbox
denken	think
aus{wählen	Select
häufig	common
nützlich	useful
die Information;	information;
Fernsehen und Radio	Television and radio
im Internet recherchieren	Researching on the Internet
das Fernsehen, Sg.	television, singular
mobiles Internet	Mobile Internet
die Sendung -en	the consignment -
möglich	possible
laufen: das Radio läuft	running: the radio is running
unkompliziert	Uncomplicated
der Spielfilm; -e	the feature film; -e
warum	why
weil	because
das Quiz, Sg.	the quiz, singular
der Dokumentarfilm, -e	the documentary film, -e
Mit dem Computer arbeiten	Working with the computer
die Serie,	the series,
der Internetzugang,	Internet access;
die Talkshow, -s	the talk show, -s
die Software; Sg.	the software; singular
international	international
die App, -s	the app, -s
der Krimi, -s	The mystery, -s
soziale Netzwerke	social networks
die Werbung, ~en	the advertising,
die Datei, ~en	the file, ~en
die Internetseite,	the website;
das E-Mail-Programm, -e	the e-mail program, -e
die Verkehrsmeldung ~en	the traffic message
speichern	Save
der Wetterbericht,	the weather report,
schließen	Close
beenden	End
senden	send
